PlayerID,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yd,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,Home Score,Away Score,Season,fr_yds,Year
012220,1.0,2.0,3.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,21.0,13.0,2007,0.0,2007
012221,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,2007,0.0,2007
012222,156.0,102.0,258.0,18.0,72.0,2.0,2.0,26.0,2.0,15.0,8.0,0.0,3.5,41.0,14.0,1122.0,893.0,68273,0.0,68274
012225,62.0,38.0,100.0,20.0,121.0,2.0,0.0,0.0,1.0,60.0,3.0,0.0,12.0,97.0,33.0,1207.0,1013.0,80344,0.0,80345
012236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13.0,2007,0.0,2007
012237,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,78.0,8030,0.0,8031
012241,80.0,28.0,108.0,3.0,13.0,1.0,0.0,0.0,2.0,151.0,29.0,1.0,0.0,0.0,2.0,1277.0,1112.0,84362,0.0,84364
012242,93.0,46.0,139.0,37.0,250.0,7.0,7.0,0.0,0.0,0.0,6.0,0.0,22.5,174.0,36.0,1324.0,1116.0,86372,0.0,86374
012243,68.0,31.0,99.0,8.0,49.0,1.0,0.0,0.0,2.0,15.0,22.0,0.0,4.0,42.0,3.0,1135.0,982.0,76324,0.0,76326
012246,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13.0,2007,0.0,2007
012289,24.0,16.0,40.0,12.0,39.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,4.5,19.0,20.0,763.0,644.0,44167,0.0,44168
012290,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,14.0,2007,0.0,2007
012293,39.0,39.0,78.0,6.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,2.0,870.0,795.0,60264,0.0,60265
012310,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,72.0,4014,0.0,4014
012329,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,107.0,8032,0.0,8032
012331,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,90.0,8030,0.0,8030
012348,11.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,284.0,18079,0.0,18079
012367,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,120.0,6022,0.0,6022
012433,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,2007,0.0,2007
012494,4.0,2.0,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,1.0,52.0,34.0,2007,0.0,2007
012514,59.0,39.0,98.0,11.0,41.0,6.0,1.0,0.0,4.0,81.0,17.0,5.0,3.0,27.0,4.0,953.0,790.0,64287,0.0,64289
012516,150.0,108.0,258.0,40.0,107.0,6.0,3.0,2.0,2.0,70.0,12.0,0.0,8.0,37.0,22.0,1155.0,985.0,82397,0.0,82398
012517,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,19.0,4016,0.0,4016
012524,160.0,130.0,290.0,22.0,55.0,3.0,1.0,0.0,1.0,0.0,13.0,0.0,5.0,30.0,14.0,1367.0,1149.0,94446,0.0,94447
012525,159.0,103.0,262.0,8.0,22.0,2.0,2.0,0.0,10.0,96.0,20.0,1.0,2.0,14.0,8.0,1417.0,1212.0,98463,0.0,98465
012526,17.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,367.0,32144,0.0,32144
012528,98.0,43.0,141.0,8.0,37.0,5.0,0.0,0.0,10.0,149.0,31.0,1.0,0.0,0.0,3.0,837.0,663.0,52221,0.0,52223
012534,58.0,27.0,85.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,736.0,587.0,52255,0.0,52256
012543,43.0,46.0,89.0,20.0,57.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,31.0,24.0,1024.0,935.0,76374,0.0,76374
012546,21.0,10.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,548.0,502.0,38166,0.0,38168
012570,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,126.0,58.0,6026,0.0,6026
012588,12.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,321.0,251.0,20087,0.0,20087
012592,16.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,352.0,32152,0.0,32152
012599,9.0,1.0,10.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,245.0,146.0,14061,0.0,14061
012644,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,2008,0.0,2008
012688,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,45.0,4016,0.0,4017
