,PlayerID,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Rush Attempts,Net Rush Yards,Rushing TDs,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Total Yards,Total TDs,First,Last,Start,End
103,9757,2.0,3.0,0.0,68.0,1.0,7.0,56.0,0.0,56.0,197.0,2755.0,26.0,2879.0,27.0,Xavier,Worthy,2021.0,2023.0
104,9006,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,188.0,2624.0,15.0,2617.0,15.0,Collin,Johnson,2016.0,2019.0
105,7367,1.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,212.0,2598.0,19.0,2632.0,19.0,Quan,Cosby,2005.0,2008.0
106,6605,0.0,0.0,0.0,0.0,0.0,15.0,83.0,0.0,51.5,160.0,2560.0,17.0,2643.0,17.0,B.J.,Johnson,2000.0,2003.0
107,8158,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,0.0,-6.0,188.0,2535.0,17.0,2529.0,17.0,Mike,Davis,2010.0,2013.0
108,9023,2.0,2.0,0.0,14.0,0.0,11.0,34.0,1.0,23.7,176.0,2468.0,16.0,2516.0,17.0,Devin,Duvernay,2016.0,2019.0
109,8292,5.0,7.0,0.0,116.0,3.0,15.0,49.0,0.0,39.5,198.0,2328.0,9.0,2493.0,12.0,Jaxon,Shipley,2011.0,2014.0
110,6262,0.0,0.0,0.0,0.0,0.0,2.0,-12.0,0.0,-12.0,168.0,2156.0,11.0,2144.0,11.0,Kwame,Cavil,1997.0,1999.0
111,4818,0.0,0.0,0.0,0.0,0.0,20.0,178.0,1.0,107.0,116.0,2084.0,14.0,2262.0,15.0,Tony,Jones,1986.0,1989.0
112,7230,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-1.0,124.0,1915.0,20.0,1919.0,20.0,Limas,Sweed,2004.0,2007.0
113,9489,0.0,0.0,0.0,0.0,0.0,7.0,76.0,1.0,68.0,141.0,1757.0,5.0,1833.0,6.0,Jordan,Whittington,2019.0,2023.0
114,3428,1.0,2.0,0.0,21.0,0.0,157.0,857.0,7.0,169.4,88.0,1682.0,15.0,2560.0,22.0,Johnny L,Jones,1976.0,1979.0
115,9007,4.0,7.0,0.0,45.0,1.0,12.0,66.0,2.0,36.3,125.0,1622.0,10.0,1733.0,13.0,Lil'Jordan,Humphrey,2016.0,2018.0
