Player,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Season
"Ewers,Quinn",19.0,30.0,0.0,260.0,3.0,44.0,3.0,8.0,32.0,20.0,12.0,1.0,16.0,1.5,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Murphy,Maalik",3.0,5.0,0.0,40.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
TEAM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
Totals,22.0,36.0,0.0,300.0,3.0,44.0,3.0,39.0,194.0,36.0,158.0,1.0,32.0,4.1,22.0,300.0,3.0,44.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Blue,Jaydon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,0.0,55.0,0.0,19.0,5.5,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Brooks,Jonathon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,55.0,3.0,52.0,0.0,18.0,4.3,2.0,42.0,1.0,37.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Baxter,CJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,3.0,38.0,0.0,32.0,7.6,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Robinson,Keilan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0,1.0,11.0,0.0,11.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Red,Savion",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,10.0,-2.0,0.0,8.0,-0.7,0.0,0.0,0.0,0.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Worthy,Xavier",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,90.0,0.0,24.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Whittington,Jordan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,0.0,26.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Sanders,Ja'Tavion",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,1.0,44.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Cook II,Johntay",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,17.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Mitchell,Adonai",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,1.0,11.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Neyor,Isaiah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,rice_texas_9_2_2023,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023-09-02,texas,rice,37.0,10.0,Win,2023
"Ewers,Quinn",24.0,38.0,0.0,349.0,3.0,50.0,0.0,3.0,13.0,2.0,11.0,0.0,11.0,3.7,1.0,3.0,0.0,3.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
Totals,24.0,38.0,0.0,349.0,3.0,50.0,0.0,37.0,120.0,15.0,105.0,1.0,14.0,2.8,24.0,349.0,3.0,50.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Brooks,Jonathon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,57.0,0.0,57.0,1.0,14.0,4.1,1.0,4.0,0.0,4.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Baxter,CJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,5.0,31.0,0.0,8.0,2.8,4.0,21.0,0.0,11.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Robinson,Keilan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,0.0,3.0,2.0,1.0,3.0,0.0,3.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Mitchell,Adonai",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,5.0,5.0,3.0,78.0,2.0,39.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Worthy,Xavier",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0,5.0,75.0,1.0,44.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Sanders,Ja'Tavion",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,114.0,0.0,50.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Blue,Jaydon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,0.0,-2.0,1.0,7.0,0.0,7.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,-6.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Whittington,Jordan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,31.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Helm,Gunnar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas_alabama_9_9_2023,https://texassports.com/sports/football/stats/2023/alabama/boxscore/15529,2023-09-09,alabama,texas,24.0,34.0,Win,2023
"Ewers,Quinn",11.0,21.0,0.0,131.0,2.0,44.0,1.0,2.0,5.0,10.0,-5.0,1.0,5.0,-2.5,0.0,0.0,0.0,0.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
Totals,11.0,21.0,0.0,131.0,2.0,44.0,1.0,31.0,198.0,13.0,185.0,1.0,61.0,6.0,11.0,131.0,2.0,44.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Brooks,Jonathon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,167.0,3.0,164.0,0.0,61.0,7.8,0.0,0.0,0.0,0.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Blue,Jaydon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,14.0,0.0,6.0,2.8,0.0,0.0,0.0,0.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Red,Savion",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,12.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Worthy,Xavier",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,56.0,1.0,44.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Mitchell,Adonai",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,16.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Robinson,Keilan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,16.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Whittington,Jordan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Helm,Gunnar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
"Murphy II,Byron",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,wyoming_texas_9_16_2023,https://texassports.com/sports/football/stats/2023/wyoming/boxscore/15530,2023-09-16,texas,wyoming,31.0,10.0,Win,2023
