Player,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Season
"Swoopes, Tyrone",20,31,1,176,1,22,3,7,25,18,7,0,14,1.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
Total,20,31,1,176,1,22,3,35,106,24,82,0,16,2.3,20.0,176.0,1.0,22.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Gray, Johnathan",0,0,0,0,0,0,0,14,48,1,47,0,12,3.4,1.0,5.0,0.0,5.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Brown, Malcolm",0,0,0,0,0,0,0,14,33,5,28,0,16,2.0,1.0,2.0,0.0,2.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,77.0,1.0,14.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,36.0,0.0,13.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,20.0,0.0,12.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,14.0,0.0,9.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Joe, Lorenzo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,22.0,0.0,22.0,byu_texas_9_6_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014-09-06,texas,byu,7.0,41.0,Loss,2014
"Swoopes, Tyrone",24,34,0,196,2,33,2,8,21,10,11,0,10,1.4,0.0,0.0,0.0,0.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
Total,24,34,0,196,2,33,2,30,144,18,126,0,31,4.2,24.0,196.0,2.0,33.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Brown, Malcolm",0,0,0,0,0,0,0,14,74,5,69,0,22,4.9,3.0,8.0,0.0,5.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Gray, Johnathan",0,0,0,0,0,0,0,7,49,0,49,0,31,7.0,2.0,6.0,0.0,4.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
TEAM,0,0,0,0,0,0,0,1,0,3,-3,0,0,-3.0,0.0,0.0,0.0,0.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,65.0,0.0,15.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,60.0,1.0,33.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,40.0,0.0,16.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Warrick, Jacorey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,0.0,15.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,2.0,ucla_texas_9_13_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut03.htm,2014-09-13,texas,ucla,17.0,20.0,Loss,2014
"Swoopes, Tyrone",19,34,0,218,2,48,2,9,21,14,7,1,7,0.8,0.0,0.0,0.0,0.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
Total,19,34,0,218,2,48,2,36,131,20,111,1,29,3.1,19.0,218.0,2.0,48.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Gray, Johnathan",0,0,0,0,0,0,0,13,44,0,44,0,11,3.4,0.0,0.0,0.0,0.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Foreman, Armanti",0,0,0,0,0,0,0,1,30,0,30,0,29,30.0,1.0,7.0,0.0,7.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Brown, Malcolm",0,0,0,0,0,0,0,12,35,6,29,0,10,2.4,2.0,5.0,0.0,10.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
TEAM,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,89.0,1.0,26.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,81.0,0.0,48.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,18.0,0.0,18.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10.0,0.0,10.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
