Player,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Season
"Templin, Ty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,0.0,7.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,texas_kansas_9_27_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut04.htm,2014-09-27,kansas,texas,0.0,23.0,Win,2014
"Swoopes, Tyrone",16,34,2,144,0,34,1,14,53,13,40,0,16,2.9,0.0,0.0,0.0,0.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
Total,16,34,2,144,0,34,1,40,213,23,190,1,26,4.8,16.0,144.0,0.0,34.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Gray, Johnathan",0,0,0,0,0,0,0,12,87,8,79,1,26,6.6,3.0,8.0,0.0,7.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Brown, Malcolm",0,0,0,0,0,0,0,12,57,2,55,0,13,4.6,2.0,10.0,0.0,6.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Foreman, Armanti",0,0,0,0,0,0,0,1,11,0,11,0,11,11.0,0.0,0.0,0.0,0.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Johnson, Daje",0,0,0,0,0,0,0,1,5,0,5,0,5,5.0,0.0,0.0,0.0,0.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,20.0,0.0,13.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,30.0,0.0,17.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,13.0,0.0,7.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,0.0,5.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,34.0,0.0,34.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"De La Torre, Alex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,23.0,0.0,23.0,baylor_texas_10_4_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut05.htm,2014-10-04,texas,baylor,7.0,28.0,Loss,2014
"Swoopes, Tyrone",27,44,1,334,2,41,2,11,63,13,50,1,15,4.5,0.0,0.0,0.0,0.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
Total,27,44,1,334,2,41,2,40,175,27,148,1,22,3.7,27.0,334.0,2.0,41.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Brown, Malcolm",0,0,0,0,0,0,0,19,88,10,78,0,22,4.1,1.0,2.0,0.0,2.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Gray, Johnathan",0,0,0,0,0,0,0,9,24,4,20,0,12,2.2,2.0,19.0,0.0,8.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
TEAM,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,115.0,0.0,32.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,93.0,0.0,41.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,90.0,2.0,38.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Leonard, Dorian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,0.0,7.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Warrick, Jacorey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0.0,5.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Foreman, Armanti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0.0,3.0,texas_oklahoma_10_11_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut06.htm,2014-10-11,oklahoma,texas,31.0,26.0,Loss,2014
"Swoopes, Tyrone",24,36,1,321,1,45,1,14,100,5,95,1,24,6.8,0.0,0.0,0.0,0.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
Total,24,36,1,321,1,45,1,39,205,14,191,4,24,4.9,24.0,321.0,1.0,45.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Brown, Malcolm",0,0,0,0,0,0,0,19,79,7,72,2,17,3.8,0.0,0.0,0.0,0.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Gray, Johnathan",0,0,0,0,0,0,0,6,26,2,24,1,10,4.0,2.0,9.0,0.0,14.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,147.0,0.0,45.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,92.0,0.0,39.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,42.0,1.0,28.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,11.0,0.0,10.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Foreman, Armanti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,0.0,12.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0.0,5.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Joe, Lorenzo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0.0,3.0,iowastate_texas_10_18_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut07.htm,2014-10-18,texas,iowa state,48.0,45.0,Win,2014
"Swoopes, Tyrone",13,25,0,106,0,21,2,8,49,18,31,0,14,3.9,0.0,0.0,0.0,0.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
Total,13,25,0,106,0,21,2,27,114,24,90,0,16,3.3,13.0,106.0,0.0,21.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Gray, Johnathan",0,0,0,0,0,0,0,10,25,1,24,0,8,2.4,1.0,-1.0,0.0,0.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Brown, Malcolm",0,0,0,0,0,0,0,6,21,0,21,0,6,3.5,0.0,0.0,0.0,0.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Foreman, D'Onta",0,0,0,0,0,0,0,3,19,5,14,0,16,4.7,0.0,0.0,0.0,0.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25.0,0.0,15.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,42.0,0.0,18.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,18.0,0.0,11.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,21.0,0.0,21.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Foreman, Armanti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,texas_kansasstate_10_25_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut08.htm,2014-10-25,kansas state,texas,23.0,0.0,Loss,2014
"Swoopes, Tyrone",13,25,0,228,1,68,3,7,32,36,-4,0,23,-0.6,0.0,0.0,0.0,0.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
Total,13,25,0,228,1,68,3,51,284,43,241,3,30,4.7,13.0,228.0,1.0,68.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Brown, Malcolm",0,0,0,0,0,0,0,22,116,0,116,2,28,5.3,0.0,0.0,0.0,0.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Gray, Johnathan",0,0,0,0,0,0,0,17,84,7,77,1,17,4.5,2.0,11.0,0.0,8.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Johnson, Daje",0,0,0,0,0,0,0,2,43,0,43,0,30,21.5,0.0,0.0,0.0,0.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Foreman, D'Onta",0,0,0,0,0,0,0,3,9,0,9,0,6,3.0,0.0,0.0,0.0,0.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,165.0,0.0,68.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,23.0,1.0,14.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.0,0.0,13.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Joe, Lorenzo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,0.0,11.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0.0,5.0,texas_texastech_11_1_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut09.htm,2014-11-01,texas tech,texas,13.0,34.0,Win,2014
"Swoopes, Tyrone",11,29,1,124,1,29,0,2,4,5,-1,0,4,-0.5,0.0,0.0,0.0,0.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
Total,11,29,1,124,1,29,0,39,239,12,227,3,40,5.8,11.0,124.0,1.0,29.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Gray, Johnathan",0,0,0,0,0,0,0,10,104,3,101,3,40,10.1,0.0,0.0,0.0,0.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Brown, Malcolm",0,0,0,0,0,0,0,20,94,4,90,0,25,4.5,0.0,0.0,0.0,0.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Johnson, Daje",0,0,0,0,0,0,0,2,24,0,24,0,22,12.0,0.0,0.0,0.0,0.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Foreman, D'Onta",0,0,0,0,0,0,0,5,13,0,13,0,7,2.6,1.0,7.0,0.0,7.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Shipley, Jaxon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,38.0,0.0,15.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Johnson, Marcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,23.0,0.0,9.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Harris, John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,45.0,0.0,29.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"McFarland, M.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,0.0,9.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Swaim, Geoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,2.0,westvirginia_texas_11_8_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut10.htm,2014-11-08,texas,west virginia,33.0,16.0,Win,2014
"Swoopes, Tyrone",24,33,0,305,2,45,3,8,17,20,-3,0,5,-0.4,0.0,0.0,0.0,0.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
Total,24,33,0,305,2,45,3,43,171,46,125,1,22,2.9,24.0,305.0,2.0,45.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
"Gray, Johnathan",0,0,0,0,0,0,0,16,87,6,81,1,22,5.1,3.0,35.0,0.0,17.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
"Brown, Malcolm",0,0,0,0,0,0,0,15,45,14,31,0,15,2.1,1.0,11.0,0.0,11.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
"Johnson, Daje",0,0,0,0,0,0,0,2,16,0,16,0,9,8.0,1.0,-5.0,0.0,0.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
"Foreman, D'Onta",0,0,0,0,0,0,0,2,6,6,0,0,6,0.0,0.0,0.0,0.0,0.0,texas_oklahomastate_11_15_2014,http://stats.texassports.com/sports/m-footbl/2014-2015/ut11.htm,2014-11-15,oklahoma state,texas,7.0,28.0,Win,2014
