##,Last,First,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yd,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,GameID,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Link,Season
3,Hicks,Jordan,8.0,6.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
33,Edmond,Steve,7.0,7.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
90,Brown,Malcom,5.0,5.0,10.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,18.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
44,Haines,Dylan,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
2,Thompson,Mykkele,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
6,Diggs,Quandre,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
42,Bluiett,Caleb,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
26,Colbert,Adrian,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
15,Echols,Bryson,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
21,Thomas,Duke,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
1,Davis,Shiro,2.0,2.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
99,Jackson,Desmond,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
19,Jinkens,Peter,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
93,Boyette Jr.,Paul,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
88,Reed,Cedric,1.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
47,Beck,Andrew,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
98,Ridgeway,Hassan,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
91,Cottrell,Bryce,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,byu_texas_9_6_2014,2014-09-06,texas,byu,7.0,41.0,Loss,http://stats.texassports.com/sports/m-footbl/2014-2015/ut02.htm,2014
